"SA Restricted Word: ID","SA Restricted Word: SA Restricted Word Name","Word","RegexValue","ReplacementRegexValue","Designation Type","Substitution","Description","SampleEntry","isActive","Override Substitution"
"a0BHy00000A9Rqt","RW-0101","twatlips|twatwaffle|UIT|Unable to pay|Unaffiliated|Unemployed|valjina|vag|vag1na|vagiina","\b(?i)(twatlips|twatwaffle|UIT|Unable to pay|Unaffiliated|Unemployed|valjina|vag|vag1na|vagiina)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqu","RW-0102","vagina|vaj1na|vajina|va-j-j|Violat|Violat*|vittu|vjayjay|Volatility|vullva","\b(?i)(vagina|vaj1na|vajina|va-j-j|Violat|Violat*|vittu|vjayjay|Volatility|vullva)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqv","RW-0103","vulva|w00se|wOp|wank|wanker|weta|wetback|wh00r|whore|whoar","\b(?i)(vulva|w00se|wOp|wank|wanker|weta|wetback|wh00r|whore|whoar)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rqw","RW-0104","whorebag|whoreface|wichser|Will be declined|Will be denied|Won?t be approved|wop|xrated|Yo mama","\b(?i)(whorebag|whoreface|wichser|Will be declined|Will be denied|Won?t be approved|wop|xrated|Yo mama)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9RpH","RW-0001","SSN 1","\b[0-9]{3}[0-9]{2}[0-9]{4}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpI","RW-0002","SSN 2","\b[0-9]{3}(-+)[0-9]{2}(-+)[0-9]{4}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpJ","RW-0003","SSN 3","\b\d{3}-?\d{2}-?\d{4}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpK","RW-0004","SSN 4","\b\d{3}\*\d{2}\*\d{4}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpL","RW-0005","SSN 5","\b\d{3}\ \d{2}\ \d{4}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpM","RW-0006","SSN 6","\b\d{3}\ *\d{2}\ *\d{4}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpN","RW-0007","TIN 1","\b\d{2}-?\d{7}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpO","RW-0008","TIN 2","\b\d{2}\*\d{7}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpP","RW-0009","TIN 3","\b\d{2}\ \d{7}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpQ","RW-0010","AMEX 1","\d{15}$","","Confidential","****","","","1","0"
"a0BHy00000A9RpR","RW-0011","AMEX 2","\b\d{5}-?\d{5}-?\d{5}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpS","RW-0012","AMEX 3","\b\d{5}\*\d{5}\*\d{5}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpT","RW-0013","AMEX 4","\b\d{5}\ *\d{5}\ *\d{5}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpU","RW-0014","DEBIT 1","\d{16}$","","Confidential","****","","","1","0"
"a0BHy00000A9RpV","RW-0015","DEBIT 2","\b\d{4}-?\d{4}-?\d{4}-?\d{4}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpW","RW-0016","DEBIT 3","\b\d{4}\*\d{4}\*\d{4}\*\d{4}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpX","RW-0017","DEBIT 4","\b\d{4}\ \d{4}\ \d{4}\ \d{4}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpY","RW-0018","DEBIT 5","\b\d{4}\ *\d{4}\ *\d{4}\ *\d{4}\b","","Confidential","****","","","1","0"
"a0BHy00000A9RpZ","RW-0019","nasty|black|ugly","\b(?i)(nasty|black|ugly)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpa","RW-0020","fuckhole|shitface|shithole|shithouse|fuckoff|cuntrag|dickbag|cockmongruel|dickweasel","\b(?i)(fuckhole|shitface|shithole|shithouse|fuckoff|cuntrag|dickbag|cockmongruel|dickweasel )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpb","RW-0021","fuckbrain|fuckin|shitstain|dickslap|fuckup|Fukken|Fukker|damn|ahole|anus","\b(?i)(fuckbrain|fuckin|shitstain|dickslap|fuckup|Fukken|Fukker|damn|ahole|anus)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpc","RW-0022","arschloch|ashOle|Fukkin|fuxOr|gayass|gayfuck|gayfuckist|asscock|asscracker|asses","\b(?i)(arschloch|ashOle|Fukkin|fuxOr|gayass|gayfuck|gayfuckist|asscock|asscracker|asses)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpd","RW-0023","bassterds|basterds|asshopper|assmuncher|assnigger|asssucker|clitfucker|cock-sucker|cockburger|cockfucker","\b(?i)(bassterds|basterds|asshopper|assmuncher|assnigger|asssucker|clitfucker|cock-sucker|cockburger|cockfucker )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpe","RW-0024","cbckkhoker|cockmaster|cockmonger|assholz|bastardz|cuntz|shitz|assshit|cocknugget|cockshit","\b(?i)(cbckkhoker|cockmaster|cockmonger|assholz|bastardz|cuntz|shitz|assshit|cocknugget|cockshit)\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpf","RW-0025","cumslut|cumtart|cuntslut|basterdz|beastiality|bestiality|bi+ch|Biatch|blow job buttfucka","\b(?i)(cumslut|cumtart|cuntslut|basterdz|beastiality|bestiality|bi+ch|Biatch|blow job buttfucka )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rpg","RW-0026","buttfucker|butthole|buttwipe|blowjob|boner|brotherfucker|c*ck|c*cks|burnblefuck|butt plug","\b(?i)(buttfucker|butthole|buttwipe|blowjob|boner|brotherfucker|c*ck|c*cks|burnblefuck|butt plug )\b","","Foul Language","****","","","1","0"
"a0BHy00000A9Rph","RW-0027","butt-pirate|cumjockey|fuckboy|Shiny|Shity|damnit|s.o.b.|sh!+|Sh!t|sh*t","\b(?i)(butt-pirate|cumjockey|fuckboy|Shiny|Shity|damnit|s.o.b.|sh!+|Sh!t|sh*t)\b","","Foul Language","****","","","1","0"
